INFO:django.utils.autoreload:D:\Web Development\Python\Django\NatBag\natBags\natBags\views.py changed, reloading.
INFO:django.utils.autoreload:D:\Web Development\Python\Django\NatBag\natBags\natBags\settings.py changed, reloading.
INFO:django.utils.autoreload:D:\Web Development\Python\Django\NatBag\natBags\natBags\settings.py changed, reloading.
INFO:django.utils.autoreload:D:\Web Development\Python\Django\NatBag\natBags\natBags\settings.py changed, reloading.
INFO:django.utils.autoreload:D:\Web Development\Python\Django\NatBag\natBags\natBags\settings.py changed, reloading.
INFO:django.utils.autoreload:D:\Web Development\Python\Django\NatBag\natBags\natBags\settings.py changed, reloading.
INFO:django.utils.autoreload:D:\Web Development\Python\Django\NatBag\natBags\natBags\settings.py changed, reloading.
INFO:django.utils.autoreload:D:\Web Development\Python\Django\NatBag\natBags\natBags\settings.py changed, reloading.
INFO:django.utils.autoreload:D:\Web Development\Python\Django\NatBag\natBags\natBags\settings.py changed, reloading.
INFO:django.utils.autoreload:D:\Web Development\Python\Django\NatBag\natBags\natBags\settings.py changed, reloading.
INFO:django.utils.autoreload:D:\Web Development\Python\Django\NatBag\natBags\natBags\settings.py changed, reloading.
INFO:django.utils.autoreload:D:\Web Development\Python\Django\NatBag\natBags\natBags\settings.py changed, reloading.
INFO:django.utils.autoreload:D:\Web Development\Python\Django\NatBag\natBags\natBags\settings.py changed, reloading.
INFO:django.utils.autoreload:D:\Web Development\Python\Django\NatBag\natBags\natBags\settings.py changed, reloading.
